kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,,86702527,1869,7,-34,194,-973,61,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86742527,1870,7,-33,194,-974,244,0,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86782527,1871,7,-33,194,-970,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86822527,1872,7,-36,194,-972,183,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86862527,1873,7,-39,197,-973,122,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86902527,1874,7,-38,195,-970,61,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKER,SPROTZ_STOP,86911775,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86942527,1875,7,-39,195,-973,244,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87060554,1876,7,-33,193,-973,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87062527,1877,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87102527,1878,7,-32,192,-971,122,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87142527,1879,7,-31,194,-975,183,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87182527,1880,7,-31,194,-975,244,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87222527,1881,7,-33,194,-972,244,-61,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87262527,1882,7,-37,193,-973,183,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87302527,1883,7,-39,196,-970,122,-122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87342527,1884,7,-41,196,-968,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87382527,1885,7,-42,198,-968,122,-427,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87422527,1886,7,-40,195,-986,488,671,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87462527,1887,7,-34,188,-965,-61,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87502527,1888,7,-37,192,-974,122,-61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87542527,1889,7,-34,194,-971,366,244,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87582527,1890,7,-31,195,-974,-122,-61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87622527,1891,7,-33,197,-974,305,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87662527,1892,7,-32,195,-969,244,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87702527,1893,7,-37,195,-980,122,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87742527,1894,7,-37,197,-982,244,244,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87782527,1895,7,-35,193,-962,122,-183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87822527,1896,7,-38,198,-975,122,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87862527,1897,7,-36,198,-969,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87902527,1898,7,-37,197,-970,122,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87942527,1899,7,-37,195,-974,366,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,87982527,1900,7,-35,196,-971,183,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,87989979,110,,,,,,,,1112,66,147,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,88095713,1901,7,-34,194,-970,61,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88102527,1902,5,0,0,0,122,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88142527,1903,7,-33,192,-973,122,-61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88250691,1904,7,-37,196,-973,61,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88262527,1905,7,-37,195,-974,122,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88302527,1906,7,-38,197,-972,366,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88342538,1907,7,-37,195,-974,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88382538,1908,7,-39,196,-975,244,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,88415341,111,,,,,,,,1112,66,147,56,32,163,32,128,36,24,240,255,55,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,88422545,1909,7,-37,196,-975,305,427,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88526715,1910,7,-35,199,-979,244,244,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88542527,1911,7,-34,194,-972,305,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
